Name	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	No..module	Zi	Pi
GQ500782.1.1482	4	222.1128689	1425	0.026190742	0.333333333	4	0.125275313	0.375
GU444062.1.1486	1	0	0	8.06E-99	0	55	0	0
GU444072.1.1508	2	0	0	3.23E-59	1	8	0	0
GU598593.1.1449	3	665.7613566	4371	0.004736795	0	1	-0.180815509	0.444444444
GU727713.1.1477	9	5792.807399	62235	0.020880757	0.055555556	2	0.782318259	0.49382716
HE602796.1.1399	3	0	0	0.1215852	1	3	-0.269320954	0
HE818627.1.1450	3	409.172329	3222	0.000912724	0	2	-0.521545506	0.444444444
HF558627.1.1486	1	0	0	8.06E-99	0	40	0	0
HG917262.1.1473	1	0	0	8.06E-99	0	49	0	0
HG917487.1.1476	1	0	0	0.018279492	0	5	-0.689399745	0
HM069101.1.1551	1	0	0	8.06E-99	0	57	0	0
HM131973.1.1518	2	41.3547619	65	0.012706289	0	4	-0.341659944	0
HM459614.1.1496	3	305	861	0.002827237	0.333333333	1	0.251132651	0
HQ011714.1.1210	1	0	0	8.06E-99	0	53	0	0
HQ114086.1.1454	2	0	0	0.039659761	1	3	-0.521266362	0
HQ114142.1.1475	7	1033.131111	4432	0.066535584	0.047619048	4	1.526081084	0.244897959
HQ114171.1.1446	2	5.542418718	91	0.002196371	0	1	-0.612763669	0.5
HQ114187.1.1493	5	2567.199444	15464	0.038362319	0.1	4	0.125275313	0.56
HQ119291.1.1498	1	0	0	6.54E-67	0	13	-0.5	0
HQ119341.1.1523	3	307.3690476	2748	0.012176563	0	3	-0.269320954	0
HQ119594.1.1480	1	0	0	0.001934685	0	1	-0.612763669	0
HQ119617.1.1536	3	1.4	4	0.013540813	0.666666667	6	0.044901326	0
HQ119662.1.1427	1	0	0	0.000495082	0	1	-0.612763669	0
HQ119950.1.1515	1	0	0	8.06E-99	0	56	0	0
HQ120544.1.1501	9	346.3621445	2322	0.210077329	0.25	3	1.242351496	0
HQ120613.1.1458	2	305	2531	0.000537927	0	2	-0.521545506	0
HQ166693.1.1493	4	826.2794122	4210	0.036457026	0	4	-0.341659944	0.625
HQ166695.1.1490	2	0	0	0.034782017	1	5	-0.689399745	0.5
HQ166699.1.1541	5	1473.594359	7393	0.002657951	0.2	4	0.59221057	0.32
HQ269171.1.1015	2	2	2	2.17E-76	0	12	1	0
HQ330573.1.1396	1	0	0	8.06E-99	0	50	0	0
HQ538636.1.1505	3	153.0772645	1217	0.000639985	0	0	0.825722824	0
HQ595217.1.1516	1	0	0	8.06E-99	0	45	0	0
HQ597135.1.1484	1	0	0	0.001158188	0	2	-0.847511447	0
HQ597338.1.1480	1	0	0	0.000147373	0	16	0	0
HQ597819.1.1531	9	3233.257915	24726	0.126550552	0.083333333	3	-0.017375545	0.49382716
HQ597996.1.1457	7	2524.849712	29941	0.002026741	0	2	0.456352318	0.408163265
HQ598262.1.1507	2	0	0	0.012067539	1	3	-0.521266362	0
HQ598294.1.1470	10	5292.579668	61832	0.025540599	0	2	0.456352318	0.68
HQ598900.1.1469	4	653.3205969	12291	0.000346963	0	0	0.825722824	0.375
HQ622736.1.1513	3	134.2950096	1472	0.014906908	0.333333333	6	0.044901326	0
HQ674886.1.1499	2	93.15479593	1532	0.000405312	0	2	-0.521545506	0
HQ674928.1.1497	5	726.0505276	4507	0.006473117	0.1	1	0.683080811	0.32
HQ697548.1.1524	2	0	0	0.043556902	1	3	-0.521266362	0
HQ727625.1.1521	4	591.0659511	5259	0.079191852	0.166666667	3	-0.269320954	0.375
HQ729781.1.1520	2	1	1	1.45E-82	0	17	0	0
HQ863972.1.1502	2	0	0	0.002788931	1	1	-0.180815509	0
HQ863981.1.1509	16	4245.11178	28744	0.009387852	0.016666667	2	2.738113906	0.4140625
HQ864072.1.1487	3	50.07917186	322	0.007881328	0.333333333	1	0.251132651	0
JADL01000008.4216.5686	5	725.7738498	11375	0.003524727	0	2	0.130386376	0.32
JF428950.1.1509	2	17.66845758	221	0.005441196	0	1	-0.180815509	0
JF429038.1.1518	3	570.8507726	6806	0.001563101	0	2	-0.195579565	0
JF429061.1.1490	13	5603.125152	50283	0.00666948	0	2	2.086182023	0.390532544
JF429110.1.1493	1	0	0	1.40E-05	0	0	-0.825722824	0
JF429136.1.1504	1	0	0	0.003150966	0	2	-0.847511447	0
JF703511.1.1441	1	0	0	8.06E-99	0	49	0	0
JF703540.1.1422	3	209.3965805	1145	0.037948386	0	5	-0.266864417	0.444444444
JF776925.1.1478	4	772.189153	7600	0.000955924	0	0	0.825722824	0.375
JF830203.1.1537	1	0	0	0.00082282	0	2	-0.847511447	0
JF833458.1.1475	9	1646.194581	26952	0.006484415	0	2	1.1082842	0.345679012
JF833872.1.1526	3	911	9755	1.13E-07	0	7	1.507556723	0
JF833933.1.1527	2	1208	13000	8.87E-07	0	7	0.301511345	0
JN038614.1.1527	6	335.1612987	1791	0.07105741	0.2	3	0.486515271	0
JN038691.1.1501	1	0	0	0.000308195	0	2	-0.847511447	0
JN038717.1.1516	6	130.2530922	3178	0.17994047	0.8	3	0.486515271	0
JN178076.1.1488	8	6553.286191	35749	0.122227512	0.142857143	3	0.234569863	0.46875
JN178270.1.1481	3	82.93325615	497	0.012292702	0.666666667	4	0.125275313	0
JN178446.1.1510	1	0	0	8.06E-99	0	36	0	0
JN178821.1.1477	5	0	0	0.168206906	1	3	0.234569863	0
JN417573.1.1521	12	1374.544309	7973	0.251918307	0.257575758	3	1.998187721	0
JN417578.1.1474	4	873.8242648	3309	0.006451547	0.166666667	2	-0.195579565	0.375
JN417583.1.1527	3	2	3	0.014035021	0.333333333	5	-0.266864417	0.444444444
JN417600.1.1512	1	0	0	8.06E-99	0	53	0	0
JN615820.1.1390	2	9.756611354	180	0.025574553	0	5	-0.266864417	0
JN825571.1.1572	2	305	2006	0.000524109	0	1	-0.180815509	0
JQ311910.1.1435	2	104.9049815	731	0.001237143	0	0	-0.825722824	0.5
JQ323145.1.1499	1	0	0	4.42E-05	0	0	-0.825722824	0
JQ427871.1.1509	5	965.5029349	5195	0.004012961	0	1	0.683080811	0.32
JQ655782.1.1495	12	4608.607092	50861	0.009924267	0.03030303	2	2.086182023	0.277777778
JQ682871.1.1504	3	323.5730833	2727	0.000310722	0	0	0	0.444444444
JQ684424.1.914	5	686.1076786	4225	0.052311987	0.2	5	0.578206237	0.32
JQ769695.1.1487	1	0	0	0.001335152	0	4	-0.808595201	0
JQ861342.1.1534	1	0	0	7.26E-83	0	20	0	0
JQ978538.1.1535	2	8.257081807	55	0.057551638	0	3	-0.521266362	0
JQ978549.1.1515	1	0	0	0.001222164	0	2	-0.847511447	0
JQ978570.1.1500	7	1818.392788	7200	0.019778834	0.142857143	1	1.546977131	0.244897959
JQ978577.1.1483	18	4016.346102	25269	0.148166991	0.045751634	5	3.535953529	0.549382716
JQ978578.1.1521	4	6	6	2.62E-66	0	13	2	0
JQ978618.1.1464	1	0	0	0.018279492	0	5	-0.689399745	0
JQ978620.1.1534	4	782.0041394	4886	0.05955332	0.166666667	6	0.044901326	0.375
JQ978850.1.1513	4	1994.087571	19134	0.018949844	0.166666667	4	-0.341659944	0.625
JX025746.1.1509	1	0	0	8.06E-99	0	44	0	0
JX025749.1.1465	2	81.49978378	442	0.001551098	0	1	-0.612763669	0.5
JX079376.1.1541	1	0	0	5.29E-05	0	4	-0.808595201	0
JX079440.1.1482	7	1519.403502	17895	0.006619505	0	1	1.978925291	0
JX080268.1.1494	2	57.3397816	1033	0.000285306	0	2	-0.521545506	0
JX133357.1.1505	5	567.7455801	7348	0.002051652	0	2	0.456352318	0
JX133575.1.1516	5	521.9372222	5587	0.000260936	0	2	0.130386376	0.32
JX406211.1.1461	10	2203.064982	34641	0.01157059	0	2	1.760216082	0.18
JX489918.1.1504	1	0	0	1.79E-70	0	9	-0.75	0
JX505213.1.1459	1	0	0	0.003506511	0	1	-0.612763669	0
JX898177.1.1545	8	347.6623223	3464	0.1910621	0.428571429	3	0.990406088	0
KC138685.1.1557	2	228.6290736	2641	0.026722466	0	3	-0.77321177	0.5
KC283062.1.1542	10	2709.912003	15385	0.011938251	0.088888889	4	2.926886856	0.18
KC331263.1.1475	2	305	2835	0.001964587	0	1	-0.180815509	0
KC331286.1.1513	1	0	0	0.015612653	0	3	-0.77321177	0
KC331417.1.1467	3	0	0	0.093006624	1	3	-0.269320954	0
KC502961.1.1477	1	0	0	0.005542156	0	3	-0.77321177	0
KC541054.1.1549	6	768.8313582	4600	0.101138274	0.266666667	3	0.486515271	0
KC541131.1.1550	3	28.12088356	295	0.008578814	0.333333333	5	0.15567091	0
KC541167.1.1558	1	0	0	8.06E-99	0	41	0	0
KC554381.1.1529	1	0	0	3.44E-05	0	0	-0.825722824	0
KC554426.1.1520	4	878.8048758	7447	0.001567539	0	0	0.825722824	0.375
KC554630.1.1514	1	0	0	8.06E-99	0	40	0	0
KC554998.1.1542	8	1859.639152	25965	0.009705283	0	2	1.434250141	0
KC682952.1.1571	3	227.9918379	2457	0.000675178	0	4	0.125275313	0
KF037870.1.1478	1	0	0	8.06E-99	0	43	0	0
KF070914.1.1353	1	0	0	4.28E-05	0	0	-0.825722824	0
KF494652.1.1520	1	0	0	0.000327914	0	4	-0.808595201	0
KF712605.1.1520	2	0	0	0.047874442	1	5	-0.689399745	0.5
KF712624.1.1524	4	732.3668953	6707	0.001317248	0	2	0.130386376	0
KF712859.1.1532	1	0	0	0.000997294	0	4	-0.808595201	0
KF712860.1.1490	9	1051.139221	11283	0.245711395	0.388888889	3	0.990406088	0.197530864
KF912975.1.1520	1	0	0	0.02567673	0	3	-0.77321177	0
KF956755.1.1539	1	0	0	0.001934685	0	1	-0.612763669	0
KJ161326.1.1708	1	0	0	8.06E-99	0	48	0	0
KJ191792.1.1485	2	0.333333333	1	0.00424987	0	6	-0.269407953	0
KJ191811.1.1479	1	0	0	0.010407112	0	6	-0.583717232	0
KJ191819.1.1479	3	375.233269	4156	0.000358376	0	0	0	0.444444444
KJ191909.1.1513	9	1375.893092	20049	0.011329879	0	2	0.130386376	0.49382716
KJ192031.1.1509	1	0	0	5.47E-05	0	2	-0.847511447	0
KJ192070.1.1494	1	0	0	0.000495082	0	1	-0.612763669	0
KJ192075.1.1496	1	0	0	0.000155513	0	15	0	0
KJ192076.1.1495	1	0	0	8.06E-99	0	56	0	0
